edge;outcoming;moto;car;bus;truck;trailer;
taz_0;taz_1,taz_2,taz_19;113;14184;600;126;25;
taz_1;taz_0,taz_3,taz_2,taz_4,taz_20,taz_16;321;20588;872;216;28;
taz_2;taz_0,taz_19,taz_1,taz_3,taz_20,taz_16;116;12029;483;89;25;
taz_3;taz_1,taz_4,taz_5,taz_2,taz_7,taz_8,taz_9,taz_20,taz_16;183;12011;538;52;4;
taz_4;taz_1,taz_3,taz_5,taz_6,taz_7,taz_8,taz_9,taz_20;120;12917;433;37;2;
taz_5;taz_3,taz_4,taz_6,taz_7,taz_20,taz_8,taz_9;155;13750;642;66;6;
taz_6;taz_4,taz_5,taz_7;104;11682;363;31;1;
taz_7;taz_3,taz_4,taz_5,taz_6,taz_8,taz_20;72;5509;318;18;1;
taz_8;taz_3,taz_4,taz_5,taz_7,taz_9,taz_20;95;12817;341;32;2;
taz_9;taz_3,taz_4,taz_5,taz_8,taz_20,taz_21;155;12371;397;20;1;
taz_10;taz_21,taz_11,taz_12;183;13994;1063;261;136;
taz_11;taz_10,taz_12,taz_21;292;30042;1466;234;91;
taz_12;taz_10,taz_11,taz_14,taz_13,taz_15,taz_16,taz_21;209;20598;962;114;55;
taz_13;taz_12,taz_14,taz_15,taz_16;123;12941;665;83;35;
taz_14;taz_12,taz_13,taz_15,taz_16;82;7342;344;42;26;
taz_15;taz_12,taz_13,taz_14,taz_16;108;7057;400;66;15;
taz_16;taz_12,taz_13,taz_14,taz_15,taz_17,taz_19,taz_20,taz_2,taz_1,taz_3;174;13125;634;121;31;
taz_17;taz_16,taz_19,taz_20;67;5593;211;8;0;
taz_19;taz_0,taz_2,,taz_16,taz_17;212;22310;1086;195;20;
taz_20;taz_1,taz_2,taz_3,taz_4,taz_5,taz_7,taz_8,taz_9,taz_16,taz_17,taz_21;378;18659;897;169;11;
taz_21;taz_9,taz_10,taz_11,taz_12,taz_20;558;31192;1630;181;15;


