Population 14;Logic;Fitness;Sum
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=17, state='GGrrrrrr', minDur=9, maxDur=67), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=27, state='rrrrrrGG', minDur=5, maxDur=65), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=42, state='rrrGGrrr', minDur=3, maxDur=44), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=65, state='GrrrrrGGr', minDur=3, maxDur=66), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=43, state='GGrrrrrrr', minDur=8, maxDur=78), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=48, state='rrrGGrrrr', minDur=3, maxDur=52), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=50, state='GGgrrrGGgrrr', minDur=9, maxDur=81), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=38, state='rrrGGgrrrGGg', minDur=3, maxDur=87), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=7, state='rrrGGGrrrrrr', minDur=7, maxDur=61), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=50, state='GGGrrrrrrrrr', minDur=7, maxDur=81), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=15, state='grrrrrrrrGGG', minDur=3, maxDur=61), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=67, state='rrrrrrGGGrrr', minDur=7, maxDur=74), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 10.46, 'cluster_259602058_2924318333': 40.04, '419734825': 17.01, '429723386': 11.06};78.57000000000001
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=41, state='GGrrrrrr', minDur=6, maxDur=57), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=72, state='rrrrrrGG', minDur=4, maxDur=97), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=68, state='rrrGGrrr', minDur=4, maxDur=76), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=53, state='GrrrrrGGr', minDur=8, maxDur=59), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=17, state='GGrrrrrrr', minDur=3, maxDur=90), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=60, state='rrrGGrrrr', minDur=8, maxDur=96), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=6, state='GGgrrrGGgrrr', minDur=5, maxDur=48), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=72, state='rrrGGgrrrGGg', minDur=8, maxDur=86), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=68, state='rrrGGGrrrrrr', minDur=5, maxDur=72), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=69, state='GGGrrrrrrrrr', minDur=8, maxDur=97), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=74, state='grrrrrrrrGGG', minDur=3, maxDur=86), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=14, state='rrrrrrGGGrrr', minDur=3, maxDur=54), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_259602058_2924318333': 40.98, 'cluster_2556814094_429774589': 14.64, '429723386': 7.28, '419734825': 11.28};74.17999999999999
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=16, state='GGrrrrrr', minDur=7, maxDur=17), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=39, state='rrrrrrGG', minDur=6, maxDur=57), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=66, state='rrrGGrrr', minDur=8, maxDur=72), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=5, state='GrrrrrGGr', minDur=3, maxDur=85), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=55, state='GGrrrrrrr', minDur=3, maxDur=69), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=72, state='rrrGGrrrr', minDur=9, maxDur=90), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=38, state='GGgrrrGGgrrr', minDur=7, maxDur=47), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=72, state='rrrGGgrrrGGg', minDur=7, maxDur=96), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=65, state='rrrGGGrrrrrr', minDur=9, maxDur=92), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=49, state='GGGrrrrrrrrr', minDur=9, maxDur=88), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=41, state='grrrrrrrrGGG', minDur=4, maxDur=91), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=14, state='rrrrrrGGGrrr', minDur=5, maxDur=83), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_259602058_2924318333': 38.09, '419734825': 13.02, 'cluster_2556814094_429774589': 16.26, '429723386': 7.64};75.01
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=25, state='GGrrrrrr', minDur=8, maxDur=32), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=21, state='rrrrrrGG', minDur=8, maxDur=83), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=8, state='rrrGGrrr', minDur=6, maxDur=98), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=71, state='GrrrrrGGr', minDur=4, maxDur=84), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=69, state='GGrrrrrrr', minDur=4, maxDur=70), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=24, state='rrrGGrrrr', minDur=3, maxDur=52), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=62, state='GGgrrrGGgrrr', minDur=8, maxDur=65), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=75, state='rrrGGgrrrGGg', minDur=9, maxDur=93), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=31, state='rrrGGGrrrrrr', minDur=6, maxDur=96), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=33, state='GGGrrrrrrrrr', minDur=4, maxDur=39), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=8, state='grrrrrrrrGGG', minDur=8, maxDur=28), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=9, state='rrrrrrGGGrrr', minDur=9, maxDur=86), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 6.78, 'cluster_259602058_2924318333': 32.31, '419734825': 12.35, '429723386': 4.87};56.31
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=51, state='GGrrrrrr', minDur=5, maxDur=55), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=40, state='rrrrrrGG', minDur=7, maxDur=96), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=19, state='rrrGGrrr', minDur=8, maxDur=44), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=67, state='GrrrrrGGr', minDur=7, maxDur=87), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=24, state='GGrrrrrrr', minDur=3, maxDur=88), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=69, state='rrrGGrrrr', minDur=5, maxDur=84), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=46, state='GGgrrrGGgrrr', minDur=9, maxDur=70), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=63, state='rrrGGgrrrGGg', minDur=9, maxDur=94), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=79, state='rrrGGGrrrrrr', minDur=3, maxDur=79), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=7, state='GGGrrrrrrrrr', minDur=9, maxDur=91), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=27, state='grrrrrrrrGGG', minDur=6, maxDur=47), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=60, state='rrrrrrGGGrrr', minDur=8, maxDur=82), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 10.61, 'cluster_259602058_2924318333': 40.8, '419734825': 13.15, '429723386': 5.84};70.4
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=47, state='GGrrrrrr', minDur=3, maxDur=95), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=36, state='rrrrrrGG', minDur=3, maxDur=82), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=66, state='rrrGGrrr', minDur=6, maxDur=94), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=68, state='GrrrrrGGr', minDur=9, maxDur=83), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=31, state='GGrrrrrrr', minDur=4, maxDur=41), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=18, state='rrrGGrrrr', minDur=8, maxDur=40), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=21, state='GGgrrrGGgrrr', minDur=4, maxDur=62), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=61, state='rrrGGgrrrGGg', minDur=8, maxDur=96), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=7, state='rrrGGGrrrrrr', minDur=3, maxDur=45), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=78, state='GGGrrrrrrrrr', minDur=5, maxDur=84), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=34, state='grrrrrrrrGGG', minDur=9, maxDur=92), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=11, state='rrrrrrGGGrrr', minDur=7, maxDur=65), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_259602058_2924318333': 36.06, '419734825': 14.78, 'cluster_2556814094_429774589': 15.18, '429723386': 5.87};71.89000000000001
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=7, state='GGrrrrrr', minDur=7, maxDur=57), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=51, state='rrrrrrGG', minDur=7, maxDur=53), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=63, state='rrrGGrrr', minDur=7, maxDur=98), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=42, state='GrrrrrGGr', minDur=3, maxDur=91), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=19, state='GGrrrrrrr', minDur=8, maxDur=21), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=62, state='rrrGGrrrr', minDur=3, maxDur=64), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=28, state='GGgrrrGGgrrr', minDur=5, maxDur=60), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=71, state='rrrGGgrrrGGg', minDur=5, maxDur=96), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=12, state='rrrGGGrrrrrr', minDur=9, maxDur=44), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=26, state='GGGrrrrrrrrr', minDur=4, maxDur=87), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=11, state='grrrrrrrrGGG', minDur=3, maxDur=23), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=16, state='rrrrrrGGGrrr', minDur=7, maxDur=51), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 8.56, 'cluster_259602058_2924318333': 38.96, '419734825': 13.05, '429723386': 7.52};68.09
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=53, state='GGrrrrrr', minDur=8, maxDur=71), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=47, state='rrrrrrGG', minDur=8, maxDur=54), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=63, state='rrrGGrrr', minDur=9, maxDur=92), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=5, state='GrrrrrGGr', minDur=4, maxDur=59), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=32, state='GGrrrrrrr', minDur=7, maxDur=97), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=18, state='rrrGGrrrr', minDur=9, maxDur=59), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=30, state='GGgrrrGGgrrr', minDur=3, maxDur=74), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=6, state='rrrGGgrrrGGg', minDur=8, maxDur=99), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=48, state='rrrGGGrrrrrr', minDur=4, maxDur=48), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=21, state='GGGrrrrrrrrr', minDur=4, maxDur=35), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=38, state='grrrrrrrrGGG', minDur=3, maxDur=58), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=77, state='rrrrrrGGGrrr', minDur=7, maxDur=85), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 12.06, 'cluster_259602058_2924318333': 33.36, '419734825': 12.77, '429723386': 6.15};64.34
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=19, state='GGrrrrrr', minDur=6, maxDur=45), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=43, state='rrrrrrGG', minDur=9, maxDur=57), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=6, state='rrrGGrrr', minDur=7, maxDur=59), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=32, state='GrrrrrGGr', minDur=3, maxDur=81), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=30, state='GGrrrrrrr', minDur=9, maxDur=89), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=50, state='rrrGGrrrr', minDur=5, maxDur=59), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=64, state='GGgrrrGGgrrr', minDur=3, maxDur=82), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=75, state='rrrGGgrrrGGg', minDur=6, maxDur=98), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=18, state='rrrGGGrrrrrr', minDur=7, maxDur=59), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=48, state='GGGrrrrrrrrr', minDur=7, maxDur=57), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=22, state='grrrrrrrrGGG', minDur=9, maxDur=50), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=17, state='rrrrrrGGGrrr', minDur=4, maxDur=26), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_259602058_2924318333': 30.51, '419734825': 12.97, '429723386': 6.62, 'cluster_2556814094_429774589': 13.49};63.59
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=66, state='GGrrrrrr', minDur=4, maxDur=80), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=14, state='rrrrrrGG', minDur=6, maxDur=15), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=35, state='rrrGGrrr', minDur=9, maxDur=70), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=56, state='GrrrrrGGr', minDur=4, maxDur=69), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=6, state='GGrrrrrrr', minDur=9, maxDur=95), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=7, state='rrrGGrrrr', minDur=3, maxDur=28), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=30, state='GGgrrrGGgrrr', minDur=4, maxDur=31), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=21, state='rrrGGgrrrGGg', minDur=7, maxDur=92), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=41, state='rrrGGGrrrrrr', minDur=6, maxDur=68), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=32, state='GGGrrrrrrrrr', minDur=3, maxDur=73), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=35, state='grrrrrrrrGGG', minDur=7, maxDur=63), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=61, state='rrrrrrGGGrrr', minDur=3, maxDur=86), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 11.98, 'cluster_259602058_2924318333': 36.88, '419734825': 12.69, '429723386': 8.6};70.14999999999999
