punkt,moto,auto,bus,ciez_solo,ciez_nacz,autobus
A,"[0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 2, 1, 1]","[83, 51, 37, 39, 60, 162, 360, 542, 572, 544, 547, 569, 592, 619, 684, 747, 738, 714, 676, 582, 481, 367, 275, 117]","[10, 6, 4, 4, 7, 19, 41, 62, 65, 62, 63, 65, 68, 71, 78, 86, 84, 82, 77, 67, 55, 42, 32, 13]","[3, 2, 1, 1, 2, 5, 12, 18, 19, 18, 18, 19, 19, 20, 22, 25, 24, 23, 22, 19, 16, 12, 9, 4]","[12, 7, 5, 6, 9, 23, 52, 78, 82, 78, 79, 82, 85, 89, 98, 108, 106, 103, 97, 84, 69, 53, 40, 17]","[1, 0, 0, 0, 0, 1, 2, 3, 4, 3, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 3, 2, 2, 1]"
B,"[0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0]","[51, 31, 23, 23, 37, 99, 219, 330, 348, 331, 333, 347, 360, 377, 417, 455, 449, 435, 412, 354, 293, 223, 168, 71]","[9, 5, 4, 4, 6, 17, 38, 57, 60, 57, 58, 60, 62, 65, 72, 79, 78, 75, 71, 61, 51, 39, 29, 12]","[3, 2, 1, 1, 2, 5, 11, 16, 17, 16, 17, 17, 18, 19, 21, 23, 22, 22, 20, 18, 15, 11, 8, 4]","[10, 6, 4, 4, 7, 19, 42, 63, 66, 63, 63, 66, 68, 72, 79, 86, 85, 83, 78, 67, 56, 42, 32, 14]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 0]"
C,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0]","[33, 20, 15, 15, 24, 64, 142, 213, 225, 214, 216, 224, 233, 244, 270, 294, 291, 281, 266, 229, 189, 145, 108, 46]","[5, 3, 2, 2, 3, 9, 20, 30, 31, 30, 30, 31, 32, 34, 38, 41, 41, 39, 37, 32, 26, 20, 15, 6]","[1, 1, 0, 1, 1, 2, 5, 7, 8, 7, 7, 8, 8, 8, 9, 10, 10, 9, 9, 8, 6, 5, 4, 2]","[7, 4, 3, 3, 5, 14, 31, 47, 50, 48, 48, 50, 52, 54, 60, 65, 65, 62, 59, 51, 42, 32, 24, 10]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
D,"[0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 2, 2, 1, 1]","[79, 48, 35, 37, 57, 154, 343, 516, 545, 518, 521, 542, 563, 589, 652, 712, 703, 680, 644, 554, 458, 349, 262, 112]","[11, 7, 5, 5, 8, 21, 47, 71, 75, 72, 72, 75, 78, 82, 90, 98, 97, 94, 89, 77, 63, 48, 36, 15]","[3, 2, 1, 2, 2, 6, 14, 21, 22, 21, 21, 22, 23, 24, 27, 29, 29, 28, 26, 23, 19, 14, 11, 5]","[19, 11, 8, 9, 13, 36, 80, 121, 127, 121, 122, 127, 132, 138, 152, 166, 164, 159, 151, 130, 107, 82, 61, 26]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0]"
E,"[0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 2, 2, 1, 1]","[66, 40, 30, 31, 48, 129, 287, 431, 455, 433, 436, 453, 471, 493, 545, 595, 587, 568, 538, 463, 383, 292, 219, 93]","[9, 5, 4, 4, 6, 17, 39, 58, 61, 58, 59, 61, 63, 66, 73, 80, 79, 76, 72, 62, 51, 39, 29, 13]","[3, 2, 1, 1, 2, 5, 11, 17, 18, 17, 17, 18, 19, 20, 22, 24, 23, 23, 21, 18, 15, 12, 9, 4]","[12, 7, 5, 6, 9, 24, 53, 79, 83, 79, 80, 83, 86, 90, 100, 109, 108, 104, 99, 85, 70, 54, 40, 17]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0]"
F,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 1, 1, 0]","[48, 29, 21, 22, 34, 93, 206, 310, 327, 311, 313, 326, 339, 354, 392, 428, 422, 409, 387, 333, 275, 210, 158, 67]","[3, 2, 1, 1, 2, 6, 14, 21, 22, 21, 21, 22, 22, 23, 26, 28, 28, 27, 26, 22, 18, 14, 10, 4]","[2, 1, 1, 1, 2, 4, 10, 15, 16, 15, 15, 15, 16, 17, 19, 20, 20, 19, 18, 16, 13, 10, 7, 3]","[3, 2, 1, 1, 2, 6, 12, 19, 20, 19, 19, 19, 20, 21, 23, 26, 25, 24, 23, 20, 16, 13, 9, 4]","[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 1, 1, 0]"
G,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 1, 1, 0]","[34, 21, 15, 16, 24, 66, 147, 220, 233, 221, 223, 232, 241, 252, 278, 304, 300, 291, 275, 237, 196, 149, 112, 48]","[5, 3, 2, 2, 3, 9, 21, 31, 33, 31, 31, 33, 34, 35, 39, 43, 42, 41, 39, 33, 28, 21, 16, 7]","[1, 0, 0, 0, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 3, 2, 2, 1]","[4, 2, 2, 2, 3, 7, 16, 23, 25, 24, 24, 25, 26, 27, 30, 32, 32, 31, 29, 25, 21, 16, 12, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
H,"[1, 0, 0, 0, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 3, 2, 2, 1]","[53, 33, 24, 25, 38, 104, 230, 347, 366, 348, 350, 364, 378, 396, 438, 478, 472, 457, 433, 372, 307, 235, 176, 75]","[5, 3, 2, 2, 3, 9, 19, 29, 31, 29, 30, 31, 32, 33, 37, 40, 40, 39, 37, 31, 26, 20, 15, 6]","[1, 1, 1, 1, 1, 3, 6, 9, 9, 9, 9, 9, 10, 10, 11, 12, 12, 12, 11, 9, 8, 6, 4, 2]","[2, 1, 1, 1, 1, 3, 7, 10, 11, 10, 10, 11, 11, 12, 13, 14, 14, 13, 13, 11, 9, 7, 5, 2]","[0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 2, 2, 1, 1]"
I,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[17, 10, 7, 8, 12, 33, 73, 109, 115, 110, 110, 115, 119, 125, 138, 151, 149, 144, 136, 117, 97, 74, 55, 24]","[5, 3, 2, 2, 3, 9, 20, 31, 32, 31, 31, 32, 33, 35, 39, 42, 42, 40, 38, 33, 27, 21, 16, 7]","[2, 1, 1, 1, 1, 3, 7, 11, 11, 11, 11, 11, 12, 12, 14, 15, 15, 14, 14, 12, 10, 7, 6, 2]","[11, 6, 5, 5, 8, 21, 46, 69, 73, 69, 70, 72, 75, 79, 87, 95, 94, 91, 86, 74, 61, 47, 35, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
J,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[18, 11, 8, 8, 13, 35, 78, 117, 123, 117, 118, 123, 128, 133, 148, 161, 159, 154, 146, 126, 104, 79, 59, 25]","[4, 3, 2, 2, 3, 8, 18, 28, 29, 28, 28, 29, 30, 31, 35, 38, 37, 36, 34, 30, 24, 19, 14, 6]","[1, 1, 1, 1, 1, 2, 5, 8, 8, 8, 8, 8, 9, 9, 10, 11, 11, 10, 10, 8, 7, 5, 4, 2]","[11, 7, 5, 5, 8, 22, 48, 72, 76, 73, 73, 76, 79, 83, 91, 100, 98, 95, 90, 78, 64, 49, 37, 16]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
