Population,Individual,Logic,Travel Time Mean,Travel Time Std
0,0,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=8, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=74, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=47, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=14, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=69, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=25, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=58, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=55, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=35, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=61, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=78, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=79, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",1180.888139648703,1181.1414586779001
0,1,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=24, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=77, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=24, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=30, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=61, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=74, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=22, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=5, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=21, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=72, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=40, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=57, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",2776.474758723088,2761.272310905853
0,2,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=42, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=69, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=28, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=16, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=5, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=76, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=56, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=31, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=61, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=61, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=60, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=31, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",1365.2359655895004,1430.6477624295433
0,3,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=46, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=52, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=55, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=17, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=78, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=5, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=60, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=18, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=48, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=64, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=41, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=45, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",2126.02894821486,2242.6359889564287
0,4,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=8, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=36, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=66, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=15, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=44, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=69, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=34, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=66, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=79, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=71, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=5, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=20, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",796.7937364466186,846.816578983773
0,5,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=41, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=53, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=33, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=43, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=46, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=68, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=47, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=53, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=40, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=70, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=18, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=8, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",266.87064700984473,135.10536711501217
0,6,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=39, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=65, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=49, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=55, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=56, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=70, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=70, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=66, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=13, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=41, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=64, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=46, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",1472.0873531821906,1476.0836667974088
0,7,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=45, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=43, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=18, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=60, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=11, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=73, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=21, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=26, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=37, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=39, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=6, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=53, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",1117.0030567247945,914.1204191188966
0,8,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=53, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=12, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=53, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=69, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=67, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=56, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=75, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=5, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=28, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=64, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=35, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=15, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",2742.875254790053,3198.0395224464028
0,9,"[('419734825', Logic(programID='0', type=0, currentPhaseIndex=4, phases=(Phase(duration=35, state='GGrrrr', minDur=40.0, maxDur=40.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=74, state='rrrrGG', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rrrryy', minDur=3.0, maxDur=3.0), Phase(duration=25, state='rrGGrr', minDur=25.0, maxDur=25.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('429723386', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=56, state='GrrrGG', minDur=30.0, maxDur=30.0), Phase(duration=3.0, state='yrrryy', minDur=3.0, maxDur=3.0), Phase(duration=26, state='GGrrrr', minDur=10.0, maxDur=10.0), Phase(duration=3.0, state='yyrrrr', minDur=3.0, maxDur=3.0), Phase(duration=50, state='rrGGrr', minDur=20.0, maxDur=20.0), Phase(duration=3.0, state='rryyrr', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_2556814094_429774589', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=47, state='GGgrrrGGgrrr', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=52, state='rrrGGgrrrGGg', minDur=41.0, maxDur=41.0), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={})), ('cluster_259602058_2924318333', Logic(programID='0', type=0, currentPhaseIndex=0, phases=(Phase(duration=45, state='rrrGGGrrrrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=76, state='GGGrrrrrrrrr', minDur=15.0, maxDur=15.0), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=6, state='grrrrrrrrGGG', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=17, state='rrrrrrGGGrrr', minDur=20.0, maxDur=20.0), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={}))]",299.82349193904054,237.83345064024135
